ticker,AAPL,AMZN,GOOGL,META,MSFT,NFLX,NVDA,QQQ,SPY,TSLA,VXX
AAPL,0.8853319621718185,0.11049817426500344,0.008507815478101519,-0.008471726775941324,-0.1659478411056628,-0.06993459537764951,-0.19148545309959078,-0.11466804673004019,-0.11466804307779623,0.12151949167136539,-0.11466803457825914
AMZN,0.11049817426500344,0.8853319621718185,0.4572215770398327,0.3290175125096998,0.47847633852407845,-0.1313189355563345,-0.353749686524757,-0.11466806074820576,-0.1146680605621259,-0.31110473176808984,-0.11466802223548794
GOOGL,0.008507815478101519,0.4572215770398327,0.8853319621718185,0.6091646649773527,0.46305898270267576,-0.3387341230577436,-0.45880479023871934,-0.11466800234602381,-0.11466800742671257,-0.24928611477482276,-0.11466805902312323
META,-0.008471726775941338,0.3290175125096998,0.6091646649773527,0.8853319621718184,0.2231809417091569,-0.12365356642093309,-0.46750137863480024,-0.1146680989324494,-0.11466809592993964,-0.1189425122418175,-0.11466799991025664
MSFT,-0.1659478411056628,0.47847633852407856,0.46305898270267565,0.22318094170915695,0.8853319621718184,-0.34446939071616145,-0.3180813781719247,-0.11466811478835433,-0.11466810876054871,-0.36089451058999944,-0.1146679763112008
NFLX,-0.06993459537764951,-0.1313189355563345,-0.3387341230577436,-0.12365356642093309,-0.3444693907161614,0.8853319621718185,-0.013313385851508097,-0.11466807561014192,-0.1146680732126598,0.03962081911387699,-0.11466802142905068
NVDA,-0.19148545309959078,-0.353749686524757,-0.45880479023871934,-0.46750137863480024,-0.3180813781719247,-0.013313385851508083,0.8853319621718184,-0.11466806793980212,-0.1146680709225518,-0.05168197386970995,-0.1146680093520043
QQQ,-0.11466804673004019,-0.11466806074820576,-0.11466800234602381,-0.1146680989324494,-0.11466811478835433,-0.11466807561014192,-0.11466806793980212,0.8853319621718185,0.8517151147014499,-0.11466810795639713,-0.8401698146666438
SPY,-0.11466804307779623,-0.1146680605621259,-0.11466800742671257,-0.11466809592993964,-0.11466810876054871,-0.1146680732126598,-0.1146680709225518,0.8517151147014498,0.8853319621718185,-0.11466811601889543,-0.8917280810635345
TSLA,0.12151949167136536,-0.31110473176808984,-0.24928611477482276,-0.1189425122418175,-0.36089451058999944,0.039620819113876965,-0.05168197386970995,-0.11466810795639713,-0.11466811601889543,0.8853319621718185,-0.11466796032922398
VXX,-0.11466803457825914,-0.11466802223548794,-0.11466805902312323,-0.11466799991025664,-0.1146679763112008,-0.11466802142905068,-0.1146680093520043,-0.8401698146666439,-0.8917280810635345,-0.11466796032922398,0.8853319621718185
